code_insee;code_postal;commune;superficie;population;classe_potentiel;identifiant;departement;region;milieu;polluant;quantite;score_pollution;nb_usines_polluantes;score_traitement;score_final;lat;long
10070;10110;CELLES_SUR_OURCE;948.0;0.5;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.07381939583531;4.422473539857539
51313;51120;LACHY;1697.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.769209654988465;3.701010835803767
36220;36800;THENAY;3436.0;0.9;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.59485408168763;1.42889771052359
65014;65370;ANTICHAN;120.0;0.0;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;42.99246889154335;0.5838322007868291
49080;49330;CHATEAUNEUF_SUR_SARTHE;1460.0;3.0;1.0;6301099.0;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;Eau (indirect);Azote total;116000.0;0.0058;0.6000000000000001;0.0;1.6058000000000001;47.684171290555156;-0.49593039563851404
63347;63260;SAINT_GENES_DU_RETZ;827.0;0.5;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.06296788048551;3.212102475798579
58238;58000;SAINT_ELOI;1644.0;2.0;1.0;25100036.0;NIEVRE;BOURGOGNE-FRANCHE-COMTE;;;0.0;5e-08;0.0;3e-06;1.00000305;46.99011810667099;3.221986050986982
52439;52160;ROUVRES_SUR_AUBE;2043.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.86088696690433;4.987933879735876
32253;32340;MIRADOUX;3479.0;0.5;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.99474373927405;0.758879620932401
01419;01710;THOIRY;2886.0;5.0;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.24354758785736;5.965062979870031
15045;15110;CHAUDES_AIGUES;5440.0;0.9;3.0;5603213.0;CANTAL;AUVERGNE-RHONE-ALPES;;;0.0;5e-08;0.0;0.0;3.00000005;44.848937782027235;2.998230598896532
60614;60240;SERANS;875.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.19093461608695;1.8273433616664012
52043;52500;BELMONT;736.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.720069924277055;5.555330890371555
39207;39270;ECRILLE;526.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.50222986082043;5.6338510514081985
26222;26220;ORCINAS;541.0;0.0;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.54847839729423;5.137622275529574
27346;27440;HOUVILLE_EN_VEXIN;805.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.299964172116475;1.3575906678430592
41140;41200;MILLANCAY;6169.0;0.8;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.45068113566892;1.78045310660883
50085;50290;BRICQUEVILLE_SUR_MER;1289.0;1.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.918388713928735;-1.513811893518585
02187;02400;CHIERRY;285.0;1.1;1.0;5100203.0;AISNE;HAUTS-DE-FRANCE;;;0.0;5e-08;5.4;0.0;6.40000005;49.03515535599354;3.433023242779876
71424;71490;SAINT_GERVAIS_SUR_COUCHES;2055.0;0.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;46.924193211597675;4.567788793059159
17427;17490;SIECQ;1178.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;45.839849714020765;-0.19055836717666402
21323;21310;JANCIGNY;693.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.383478499432826;5.421129136082833
32375;32300;SAINT_ELIX_THEUX;848.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.42800953816825;0.472914015633184
78050;78490;BAZOCHES_SUR_GUYONNE;563.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.773847576356914;1.8524245324425181
62089;62250;BAZINGHEN;1337.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.83127287802792;1.658389196314042
18065;18160;CHEZAL_BENOIT;4647.0;0.9;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.83176663427928;2.111169827832589
48074;48150;HURES_LA_PARADE;8877.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.24778557425351;3.386716865971317
80778;80620;VAUCHELLES_LES_DOMART;394.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.05656785905536;2.058071527737269
10171;10500;HAMPIGNY;955.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.46052628563267;4.601366749384807
35192;35210;MONTREUIL_DES_LANDES;938.0;0.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;48.25076300764556;-1.228792489782036
17181;17350;GRANDJEAN;608.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;45.87532482928538;-0.602567687993074
39473;39130;SAFFLOZ;873.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.66904235661455;5.863476908854576
82186;82400;VALENCE;1352.0;5.1;1.0;6802453.0;TARN-ET-GARONNE;OCCITANIE;;;0.0;5e-08;2.0999999999999996;0.0;3.10000005;44.106833209497516;0.897921093493611
39499;39350;SALIGNEY;788.0;0.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;47.22297459126879;5.6368167367087505
32091;32810;CASTIN;1139.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.6939093095581;0.5360740194590541
80795;80420;VILLE_LE_MARCLET;898.0;0.5;1.0;5102587.0;SOMME;HAUTS-DE-FRANCE;Air;Composés organiques volatils non méthaniques (COVNM);110000.0;0.022000000000000002;0.6000000000000001;0.0;1.622;50.03985149487223;2.090512855938299
26030;26310;LA_BATIE_DES_FONDS;1156.0;0.0;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.51491991040383;5.629688577256899
28390;28140;TILLAY_LE_PENEUX;2231.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.15892216327568;1.7637031710834292
67523;67500;WEITBRUCH;1509.0;2.7;1.0;6702323.0;BAS-RHIN;GRAND-EST;;;0.0;5e-08;0.0;3e-06;1.00000305;48.76212425653951;7.78027504315292
30302;30290;SAINT_VICTOR_LA_COSTE;2671.0;1.9;2.0;6600562.0;GARD;OCCITANIE;Air;Dioxyde de carbone (CO2) d'origine non biomasse;35200000.0;7.039999999999999;5.4;0.0;14.44;44.05512185042003;4.641625938758587
31051;31370;BEAUFORT;852.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.45486180977992;1.1065096107374
34186;34800;OCTON;2179.0;0.4;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;43.65743971461394;3.295806521356297
26046;26110;BELLECOMBE_TARENDOL;1357.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.35708052633627;5.3560585314192455
21691;21700;VILLEBICHOT;1044.0;0.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.14013596220584;5.042219711487431
87029;87230;LES_CARS;1663.0;0.6000000000000001;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.6748528482015;1.071391969927276
64539;64120;UHART_MIXE;1174.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.27374466404641;-1.018279897799458
67485;67370;STUTZHEIM_OFFENHEIM;734.0;1.5;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.626685467672246;7.627116111031056
19063;19360;COSNAC;2024.0;2.9;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.13074162363522;1.586019094944136
62191;62132;CAFFIERS;483.0;0.7000000000000001;2.0;7000706.0;PAS-DE-CALAIS;HAUTS-DE-FRANCE;Air;Dioxyde de carbone (CO2) d'origine non biomasse;11600000.0;2.3200000000000003;4.5;0.0;8.82;50.843543316955156;1.8107526736509172
55254;55220;LES_TROIS_DOMAINES;1656.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.97072897629958;5.281798797827087
51241;51230;EUVY;1438.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.71766001263661;4.019951228188776
45147;45400;FLEURY_LES_AUBRAIS;1016.0;21.1;1.0;10002269.0;LOIRET;CENTRE;Air;Hydroflurocarbures (HFC);238.0;2.3800000000000003e-05;3.0;0.0;4.0000238;47.938926618883976;1.919891156495201
12155;12540;FONDAMENTE;5098.0;0.3;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;43.86175339255735;3.114687109732711
59526;59230;SAINT_AMAND_LES_EAUX;3410.0;16.7;2.0;7000783.0;NORD;HAUTS-DE-FRANCE;;;0.0;5e-08;1.7999999999999998;0.0;3.8000000499999995;50.44010009812565;3.444607080285699
88483;88390;UXEGNEY;896.0;2.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.19633765410202;6.382013586181529
55202;55120;FUTEAU;173.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.07668318948953;5.006902598104772
53168;53970;NUILLE_SUR_VICOIN;2411.0;1.2;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;47.980278928120605;-0.779212405934477
54511;54800;SPONVILLE;725.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.074078308888296;5.831949439285055
30271;30500;SAINT_JULIEN_DE_CASSAGNAS;459.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.21292559879897;4.204242572019125
85291;85480;THORIGNY;3209.0;1.1;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;46.61797950249627;-1.24888057642074
76674;76850;SEVIS;636.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.71188200045898;1.178346731176532
47159;47430;LE_MAS_D'AGENAIS;2112.0;1.4;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.399102531663814;0.200249161005346
23145;23170;NOUHANT;2560.0;0.3;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;46.28707433199646;2.392093942246334
72185;72200;MAREIL_SUR_LOIR;1204.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.720167568303175;0.007801779029288001
76289;76190;FREVILLE;578.0;0.9;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.56516314517745;0.833069408864013
02445;02500;LUZOIR;1107.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.9271348987162;3.960250903371615
2B187;20217;OLMETA_DI_CAPOCORSO;2158.0;0.1;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;42.766973440989865;9.37798697409332
55288;55200;LEROUVILLE;1432.0;1.5;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.778880826785795;5.536364574149972
40330;40110;VILLENAVE;2735.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.96593745302782;-0.822038920541564
71324;71390;MOROGES;868.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.7507453414938;4.67430662316363
29252;29120;SAINT_JEAN_TROLIMON;1448.0;1.0;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;47.868260274618954;-4.309932500833021
24369;24330;SAINT_ANTOINE_D'AUBEROCHE;801.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;45.140264750446036;0.9421924267625741
64476;64640;SAINT_ESTEBEN;1375.0;0.4;1.0;5213843.0;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE;;;0.0;5e-08;0.0;0.0;1.00000005;43.328840763485246;-1.216204740750707
09260;09500;SAINTE_FOI;246.0;0.0;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;43.12576031271905;1.9172086968953441
86227;86200;SAINT_LAON;1191.0;0.1;1.0;7201746.0;VIENNE;NOUVELLE-AQUITAINE;;;0.0;5e-08;0.0;0.0;1.00000005;46.96840349398913;-0.019991663005452003
69290;69800;SAINT_PRIEST;2966.0;41.8;1.0;6104102.0;RHONE;AUVERGNE-RHONE-ALPES;Air;Composés organiques volatils non méthaniques (COVNM);33300.0;0.00666;1.7999999999999998;0.0;2.80666;45.701466555988404;4.948820716648468
52459;52800;SARCEY;721.0;0.1;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.0572745390068;5.298006663019977
60698;60420;WACQUEMOULIN;663.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.508228870127994;2.62144650990256
16364;16310;SAUVAGNAC;727.0;0.1;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.749524795590986;0.6479839600340991
35139;35890;LAILLE;3207.0;4.4;3.0;53501402.0;ILLE-ET-VILAINE;BRETAGNE;;;0.0;5e-08;5.1;0.0;8.100000049999998;47.96723600165826;-1.714526765285087
39166;39240;CORNOD;1409.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.307599077682724;5.547459989407496
34201;34360;PIERRERUE;1166.0;0.3;2.0;;;;;;0.0;0.0;0.0;0.0;2.0;43.4408898426584;2.963532657758809
27426;27830;NEAUFLES_SAINT_MARTIN;908.0;1.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;49.27733037503261;1.7263512301165291
27499;27270;LA_ROUSSIERE;1028.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;48.96474720438326;0.5824091419759581
71462;71620;SAINT_MAURICE_EN_RIVIERE;1874.0;0.6000000000000001;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;46.8493063168152;5.022115273144372
07248;07160;SAINT_JEAN_ROURE;2398.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;44.95544531720232;4.4188543877884054
72169;72210;LOUPLANDE;1845.0;1.5;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.94125062956528;0.048551472104872005
24519;24270;SARLANDE;3539.0;0.4;3.0;;;;;;0.0;0.0;0.0;0.0;3.0;45.45034113837128;1.115554862061988
58007;58450;ANNAY;2654.0;0.3;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;47.53085510542201;2.9413701833171992
13078;13230;PORT_SAINT_LOUIS_DU_RHONE;8341.0;8.7;1.0;6410881.0;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE-D'AZUR;;;0.0;5e-08;0.6000000000000001;0.0;1.6000000500000002;43.41481937413766;4.806796635894163
76696;76910;TOCQUEVILLE_SUR_EU;367.0;0.2;1.0;;;;;;0.0;0.0;0.0;0.0;1.0;50.00021753990267;1.275713159336807
37045;37160;LA_CELLE_SAINT_AVANT;1781.0;1.0;1.0;10002969.0;INDRE-ET-LOIRE;CENTRE;;;0.0;5e-08;1.7999999999999998;0.0;2.8000000499999995;47.02072404742592;0.61560816576617
