identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0005701242;F2J REMAN CHAUMONT (ex Caterpillar);84732020700016;Route de Neuilly, BP 2013;52000;CHAUMONT;HAUTE-MARNE;GRAND-EST;859791.000000;6778263.000000;2154;2811Z;Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;;
0007004522;RAMERY ENVIRONNEMENT;41797912700020;Rue de la sucrerie, Pont d'Ardres;62610;ARDRES;PAS-DE-CALAIS;HAUTS-DE-FRANCE;627836.000000;7088790.000000;2154;3832Z;Récupération de déchets triés;;
0006700044;BALLASTIERES HELMBACHER SAS;58850052000014;Neuhard, ZERC2;67114;ESCHAU;BAS-RHIN;GRAND-EST;1049420.000000;6832081.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0006408012;SEVIA;77572139200345;200, avenue Marius Bucchi;84700;SORGUES;VAUCLUSE;PROVENCE-ALPES-COTE-D'AZUR;850944.000000;6326294.000000;2154;3822Z;Traitement et élimination des déchets dangereux;;
0006811381;SYDED DU LOT;25460139600016;Combe Cave, Parcelles n° 252, 253, 254 et 255 - Section D;46800;MONTCUQ;LOT;OCCITANIE;560799.000000;6362278.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0057900098;PAMPR'OEUF SAS  PRODUCTION;33488711400018;Les Brelières;79800;PAMPROUX;DEUX-SEVRES;NOUVELLE-AQUITAINE;464785.000000;6593422.000000;2154;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille
0006511040;AMF (ACHAT MATERIAUX ET FERRAILLES);40749478000031;Parcelles AK0009 et AK0104;78440;PORCHEVILLE;YVELINES;ILE-DE-FRANCE;609782.000000;6877213.000000;2154;3832Z;Récupération de déchets triés;;
0009000011;13e base de soutien du Matériel;13000875800018;Rue de l'arsenal BP 20;63035;CLERMONT-FERRAND;PUY-DE-DOME;AUVERGNE-RHONE-ALPES;6620000.000000;2088600.000000;;8411Z;Administration publique générale;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0006503218;COFELY;55204695505067;SAIC PARLY II, 2 rue Cimarosa;78150;LE CHESNAY;YVELINES;ILE-DE-FRANCE;635692.000000;6858332.000000;2154;3530Z;Production et distribution de vapeur et d'air conditionné;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
0006412187;SARL Joseph De Bresc;34168900800017;Lieu-dit Eau Blanche;83630;AUPS;VAR;PROVENCE-ALPES-COTE-D'AZUR;959883.000000;6285057.000000;2154;4312B;Travaux de terrassement spécialisés ou de grande masse;;
0006506233;CPCU - CENTRALE DE BERCY;54209732400066;177, rue de Bercy;75012;PARIS-12E-ARRONDISSEMENT;PARIS;ILE-DE-FRANCE;2.373960;48.843290;4326;3530Z;Production et distribution de vapeur et d'air conditionné;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
0005701346;DELLA CASA;41819549100018;ZI Nay;52190;PRAUTHOY;HAUTE-MARNE;GRAND-EST;871899.000000;6734294.000000;2154;3831Z;Démantèlement d'épaves;;
